Country Name,Country Name,Country Code,Government Type,Capital City,Date of Founding/Independence,Latitude of Capital,Longitude of Capital,Telephones - fixed lines,Telephones - mobile cellular,Internet users,Broadband - fixed subscriptions,GDP (purchasing power parity),GDP - real growth rate,GDP - per capita (PPP),Gross national saving,Industrial production growth rate,Labor force,Unemployment rate,Distribution of family income - Gini index,Taxes and other revenues,Budget surplus (+) or deficit (-),Public debt,Inflation rate (consumer prices),Central bank discount rate,Commercial bank prime lending rate,Stock of narrow money,Stock of broad money,Stock of domestic credit,Market value of publicly traded shares,Current account balance,Exports,Imports,Reserves of foreign exchange and gold,Debt - external,Stock of direct foreign investment - at home,Stock of direct foreign investment - abroad,Electricity - production,Electricity - consumption,Electricity - exports,Electricity - imports,Electricity - installed generating capacity,Electricity - from fossil fuels,Electricity - from nuclear fuels,Electricity - from hydroelectric plants,Electricity - from other renewable sources,Crude oil - production,Crude oil - exports,Crude oil - imports,Crude oil - proved reserves,Refined petroleum products - production,Refined petroleum products - consumption,Refined petroleum products - exports,Refined petroleum products - imports,Natural gas - production,Natural gas - consumption,Natural gas - exports,Natural gas - imports,Natural gas - proved reserves,Carbon dioxide emissions from consumption of energy,Area,Military expenditures,Population,Median age,Population growth rate,Birth rate,Death rate,Net migration rate,Maternal mortality rate,Infant mortality rate,Life expectancy at birth,Total fertility rate,Obesity - adult prevalence rate,Children under the age of 5 years underweight,Education expenditures,"Unemployment, youth ages 15-24",Airports,Railways,Roadways,Merchant marine
Cambodia,Cambodia,KH,multiparty democracy under a constitutional monarchy,Phnom Penh,11/9/1953,11 33 N,104 55 E,"132,911","18,572,973","4,080,372","129,650","$64,210,000,000 ",6.9,"$4,000 ",13.7,10.6,"8,913,000",0.3,37.9,17.9,-1.8,30.4,2.9,5.25,10.92,"$2,202,000,000 ","$2,202,000,000 ","$16,530,000,000 ",unknown,"($1,871,000,000)","$11,420,000,000 ","$14,370,000,000 ","$12,200,000,000 ","$11,870,000,000 ","$29,170,000,000 ",unknown,"5,210,000,000","5,857,000,000",0,"1,583,000,000","1,697,000.00",35,0,63,2,0,0,0,0,0,"45,000",0,"43,030",0,0,0,0,0,"10,550,000.00","181,035.00",2.21,"16,449,519",25.7,1.48,22.5,7.4,-0.3,160,46.1,65.2,2.47,3.9,24.1,1.9,1.1,16,642,"47,263",364
Cameroon,Cameroon,CM,republic,Yaounde,1/1/1960,3 52 N,11 31 E,"699,055","19,706,027","6,090,201","42,117","$89,540,000,000 ",3.5,"$3,700 ",25.5,3.3,"9,912,000",4.3,46.5,15.3,-3.4,36.9,0.6,4.25,13,"$4,857,000,000 ","$4,857,000,000 ","$6,154,000,000 ","$230,000,000 ","($932,000,000)","$4,732,000,000 ","$4,812,000,000 ","$3,235,000,000 ","$9,375,000,000 ",unknown,unknown,"8,108,000,000","6,411,000,000",0,"55,000,000","1,558,000.00",52,0,47,1,"69,000","96,370","36,480","200,000,000","39,080","45,000","8,545","14,090","910,400,000","906,100,000",0,0,"135,100,000,000","7,672,000.00","475,440.00",1.25,"25,640,965",18.6,2.54,35,9.4,-0.1,529,49.8,59.4,4.58,11.4,14.8,3.1,6.3,33,987,"77,589",19
Canada,Canada,CA,"a parliamentary democracy, a federation, and a constitutional monarchy",Ottawa,7/1/1867,45 25 N,75 42 W,"14,700,854","31,458,600","31,770,034","13,922,504","$1,774,000,000,000 ",3,"$48,400 ",20.8,4.9,"19,520,000",6.3,32.1,39.3,-1,89.7,1.6,1,3.2,"$748,900,000,000 ","$748,900,000,000 ","$3,219,000,000,000 ","$1,593,000,000,000 ","($48,750,000,000)","$423,500,000,000 ","$442,100,000,000 ","$86,680,000,000 ","$1,608,000,000,000 ","$1,039,000,000,000 ","$1,371,000,000,000 ","649,600,000,000","522,200,000,000","73,350,000,000","2,682,000,000","143,500,000.00",23,9,56,12,"4,264,000","2,818,000","806,700","170,500,000,000","2,009,000","2,445,000","1,115,000","405,700","159,100,000,000","124,400,000,000","83,960,000,000","26,360,000,000","2,056,000,000,000","640,600,000.00","9,984,670.00",1.31,"35,881,659",42.4,0.72,10.2,8.8,5.7,10,4.5,82,1.6,29.4,unknown,5.3,11.1,"1,467","77,932","1,042,300",657
Central African Republic,Central African Republic,CF,republic,Bangui,8/13/1960,4 22 N,18 35 E,"1,964","1,248,346","246,000",unknown,"$3,390,000,000 ",4.3,$700 ,5.4,3.9,"2,242,000",6.9,43.6,14.6,-0.9,52.9,4.1,4.25,15.5,"$428,900,000 ","$428,900,000 ","$547,000,000 ",unknown,"($163,000,000)","$113,700,000 ","$393,100,000 ","$304,300,000 ","$779,900,000 ",unknown,unknown,"171,400,000","159,400,000",0,0,"38,300.00",50,0,50,1,0,0,0,0,0,"2,800",0,"2,799",0,0,0,0,0,"413,800.00","622,984.00",1.41,"5,745,062",19.8,2.11,34,12.9,0,829,84.3,53.3,4.25,7.5,24.6,1.2,unknown,39,unknown,"24,000",unknown
Chad,Chad,TD,republic,N'Djamena,8/11/1960,12 06 N,15 02 E,"14,000","6,231,009","592,623","10,470","$28,620,000,000 ",-3.1,"$2,300 ",15.5,-4,"5,654,000",unknown,43.3,13.5,-1.5,52.5,-0.9,4.25,15.5,"$1,397,000,000 ","$1,397,000,000 ","$2,681,000,000 ",unknown,"($558,000,000)","$2,464,000,000 ","$2,160,000,000 ","$22,900,000 ","$1,724,000,000 ","$4,500,000,000 ",unknown,"224,300,000","208,600,000",0,0,"48,200.00",98,0,0,3,"132,000","70,440",0,"1,500,000,000",0,"2,300",0,"2,285",0,0,0,0,0,"342,200.00","1,284,000.00",2.13,"15,833,116",15.8,3.23,43,10.5,-0.1,"1,140",71.7,57.5,5.9,6.1,29.4,2.9,unknown,59,unknown,"40,000",unknown
Chile,Chile,CL,republic,Santiago,9/18/1810,33 27 S,70 40 W,"3,193,131","23,013,147","11,650,840","3,058,979","$452,100,000,000 ",1.5,"$24,600 ",20.5,-0.4,"8,881,000",6.7,50.5,20.8,-2.8,23.6,2.2,3.35,4.6,"$52,540,000,000 ","$52,540,000,000 ","$244,300,000,000 ","$190,400,000,000 ","($4,102,000,000)","$69,230,000,000 ","$61,310,000,000 ","$38,980,000,000 ","$183,400,000,000 ","$206,200,000,000 ","$95,370,000,000 ","76,090,000,000","73,220,000,000",0,0,"24,530,000.00",59,0,26,15,"3,000",0,"169,600","150,000,000","216,200","354,500","7,359","166,400","1,218,000,000","5,125,000,000","277,500,000","4,446,000,000","97,970,000,000","88,230,000.00","756,102.00",1.89,"17,925,262",34.8,0.75,13.4,6.3,0.3,13,6.4,79.1,1.79,28,0.5,5.4,18.1,481,"7,282","77,801",222
China,China,CN,Communist state,Beijing,10/1/1949,39 55 N,116 23 E,"193,762,000","1,474,097,000","730,723,960","378,540,000","$25,360,000,000,000 ",6.9,"$18,200 ",45.8,6.1,"806,700,000",3.9,46.5,21.3,-3.8,47,1.6,2.25,4.35,"$8,351,000,000,000 ","$8,351,000,000,000 ","$27,340,000,000,000 ","$7,335,000,000,000 ","$164,900,000,000 ","$2,490,000,000,000 ","$2,140,000,000,000 ","$3,236,000,000,000 ","$1,598,000,000,000 ","$1,523,000,000,000 ","$1,383,000,000,000 ","5,883,000,000,000","5,564,000,000,000","18,910,000,000","6,185,000,000","1,653,000,000.00",62,2,18,18,"3,773,000","57,310","6,710,000","25,630,000,000","11,510,000","12,470,000","848,400","1,160,000","145,900,000,000","238,600,000,000","3,370,000,000","97,630,000,000","5,440,000,000,000","11,670,000,000.00","9,596,960.00",1.87,"1,384,688,986",37.7,0.37,12.1,8,-0.4,29,11.8,75.8,1.6,6.2,2.4,unknown,unknown,507,"131,000","4,960,600","4,610"
Colombia,Colombia,CO,republic,Bogota,7/20/1810,4 36 N,74 05 W,"6,987,654","62,222,011","27,452,550","6,318,936","$711,600,000,000 ",1.8,"$14,400 ",18.9,-2.2,"25,760,000",9.3,51.1,26.5,-2.7,49.4,4.3,4.75,13.69,"$36,370,000,000 ","$36,370,000,000 ","$173,700,000,000 ","$85,960,000,000 ","($10,360,000,000)","$39,480,000,000 ","$44,240,000,000 ","$47,130,000,000 ","$124,600,000,000 ","$179,600,000,000 ","$55,510,000,000 ","74,920,000,000","68,250,000,000","460,000,000","378,000,000","16,890,000.00",29,0,69,2,"863,000","726,700",0,"1,665,000,000","303,600","333,000","56,900","57,170","10,020,000,000","10,080,000,000",0,"48,140,000","113,900,000,000","95,590,000.00","1,138,910.00",3.5,"48,168,996",30.4,0.97,15.8,5.5,-0.6,83,13.2,76.2,1.98,22.3,3.4,4.5,18.7,836,"2,141","206,500",102
Comoros,Comoros,KM,republic,Moroni,7/6/1975,11 42 S,43 14 E,"17,212","446,868","63,084","1,644","$1,319,000,000 ",2.7,"$1,600 ",17.3,1,"278,500",6.5,55.9,25.3,-6.5,32.4,1,1.93,10.5,"$200,800,000 ","$200,800,000 ","$208,500,000 ",unknown,"($27,000,000)","$18,900,000 ","$207,800,000 ","$208,000,000 ","$199,800,000 ",unknown,unknown,"42,000,000","39,060,000",0,0,"27,000.00",96,0,4,0,0,0,0,0,0,"1,300",0,"1,241",0,0,0,0,0,"193,600.00","2,235.00",unknown,"821,164",20.2,1.57,25.3,7.1,-2.4,273,58.3,64.9,3.21,7.8,16.9,2.5,unknown,4,unknown,880,218
"Congo, Democratic Republic of the","Congo, Democratic Republic of the",CD,republic,Kinshasa,6/30/1960,4 19 S,15 18 E,unknown,"35,270,156","3,016,000","1,000","$68,600,000,000 ",3.4,$800 ,11.5,1.6,"31,360,000",unknown,42.1,11.2,-0.9,18.1,41.5,20,20.62,"$1,044,000,000 ","$1,044,000,000 ","$3,252,000,000 ",unknown,"($200,000,000)","$10,980,000,000 ","$10,820,000,000 ","$457,500,000 ","$4,963,000,000 ",unknown,unknown,"9,046,000,000","7,430,000,000","422,000,000","20,000,000","2,587,000.00",2,0,98,0,"17,000","20,000",0,"180,000,000",0,"21,000",0,"21,140",0,0,0,0,"991,100,000","3,146,000.00","2,344,858.00",0.67,"85,281,024",18.8,2.33,32.8,9.4,-0.1,473,66.7,58.1,4.54,6.7,23.4,1.5,8.7,198,"4,007","152,373",27
"Congo, Republic of the","Congo, Republic of the",CG,republic,Brazzaville,8/15/1960,4 15 S,15 17 E,"17,000","5,056,000","362,000",unknown,"$29,390,000,000 ",-3.1,"$6,800 ",19.5,-3,"2,055,000",36,48.9,22.5,-7,130.8,0.5,4.25,14.6,"$2,585,000,000 ","$2,585,000,000 ","$3,036,000,000 ",unknown,"($1,128,000,000)","$4,193,000,000 ","$2,501,000,000 ","$505,700,000 ","$4,605,000,000 ",unknown,unknown,"1,696,000,000","912,000,000","22,000,000","18,000,000","591,500.00",64,0,36,0,"340,000","254,100",0,"1,600,000,000","15,760","17,000","5,766","7,162","1,387,000,000","1,387,000,000",0,0,"90,610,000,000","5,239,000.00","342,000.00",2.55,"5,062,021",19.6,2.17,33.7,9.2,-2.8,378,53.5,60.3,4.26,9.6,12.3,4.6,unknown,27,510,"23,324",16
Costa Rica,Costa Rica,CR,democratic republic,San Jose,9/15/1821,9 56 N,84 05 W,"843,148","8,840,342","3,217,277","744,059","$83,940,000,000 ",3.3,"$16,900 ",15.1,1.3,"2,229,000",8.1,48.5,14.3,-6.1,48.9,1.6,3.5,11.37,"$5,356,000,000 ","$5,356,000,000 ","$41,040,000,000 ","$2,015,000,000 ","($1,692,000,000)","$10,810,000,000 ","$15,150,000,000 ","$7,150,000,000 ","$26,830,000,000 ","$33,920,000,000 ","$4,007,000,000 ","10,790,000,000","9,812,000,000","643,000,000","807,000,000","3,584,000.00",18,0,64,18,0,0,0,0,0,"53,000",0,"51,320",0,0,0,0,0,"7,653,000.00","51,100.00",unknown,"4,987,142",31.7,1.13,15.3,4.8,0.8,27,7.8,78.9,1.89,25.7,unknown,7.4,20.6,161,278,"5,035",11
Cote d'Ivoire,Cote d'Ivoire,CI,republic,Yamoussoukro,8/7/1960,6 49 N,5 16 W,"305,562","31,747,233","6,297,676","142,825","$97,160,000,000 ",7.8,"$3,900 ",15.9,4.2,"8,747,000",9.4,41.5,19.1,-4.2,47,0.8,4.25,5.4,"$11,630,000,000 ","$11,630,000,000 ","$14,560,000,000 ","$12,490,000,000 ","($1,860,000,000)","$11,740,000,000 ","$9,447,000,000 ","$6,257,000,000 ","$13,070,000,000 ",unknown,unknown,"9,730,000,000","6,245,000,000","872,000,000","19,000,000","1,914,000.00",60,0,40,0,"52,000","26,700","62,350","100,000,000","69,360","51,000","31,450","7,405","2,322,000,000","2,322,000,000",0,0,"28,320,000,000","11,540,000.00","322,463.00",1.36,"26,260,582",19.9,2.3,30.1,8.4,1.3,617,62.6,60.1,3.83,10.3,12.8,5.1,3.9,27,660,"81,996",15
Croatia,Croatia,HR,parliamentary democracy,Zagreb,6/25/1991,45 48 N,16 00 E,"1,401,354","4,315,580","3,135,949","1,095,881","$102,100,000,000 ",2.8,"$24,700 ",24.7,1.2,"1,559,000",12.4,30.8,46.1,0.8,77.8,1.1,3,4.23,"$14,200,000,000 ","$14,200,000,000 ","$39,970,000,000 ","$18,330,000,000 ","$2,150,000,000 ","$13,150,000,000 ","$22,340,000,000 ","$18,820,000,000 ","$48,100,000,000 ","$43,710,000,000 ","$8,473,000,000 ","12,200,000,000","15,930,000,000","3,200,000,000","8,702,000,000","4,921,000.00",45,0,40,16,"14,000",0,"55,400","71,000,000","74,620","73,000","40,530","35,530","1,048,000,000","2,577,000,000","172,700,000","1,841,000,000","24,920,000,000","17,960,000.00","56,594.00",1.68,"4,270,480",43.3,-0.51,8.8,12.4,-1.4,8,9.1,76.3,1.41,24.4,unknown,4.6,27.4,69,"2,722","26,958",131
Cuba,Cuba,CU,Communist state,Havana,5/20/1902,23 07 N,82 21 W,"1,349,188","4,613,782","4,334,022","33,536","$137,000,000,000 ",1.6,"$12,300 ",11.4,-1.2,"4,691,000",2.6,unknown,58.1,-10.8,47.7,5.5,unknown,unknown,"$23,260,000,000 ","$23,260,000,000 ",unknown,unknown,"$985,400,000 ","$2,630,000,000 ","$11,060,000,000 ","$11,350,000,000 ","$30,060,000,000 ",unknown,"$4,138,000,000 ","19,280,000,000","16,160,000,000",0,0,"6,998,000.00",91,0,1,8,"50,000",0,"112,400","124,000,000","104,100","175,000","24,190","52,750","1,189,000,000","1,189,000,000",0,0,"70,790,000,000","26,940,000.00","110,860.00",2.87,"11,116,396",41.8,-0.27,10.6,8.9,-4.5,36,4.4,78.9,1.71,24.6,unknown,12.8,6.1,133,"8,367","60,000",41
Cyprus,Cyprus,CY,republic ,Nicosia,8/16/1960,35 10 N,33 22 E,"317,241","1,176,801","915,036","295,686","$31,780,000,000 ",3.9,"$37,200 ",13.7,13.4,"426,600",11.1,34.8,39.9,1.8,97.5,0.7,0,4.13,"$5,152,000,000 ","$5,152,000,000 ","$55,610,000,000 ","$2,692,000,000 ","($1,458,000,000)","$2,805,000,000 ","$7,935,000,000 ","$888,200,000 ","$95,280,000,000 ","$232,500,000,000 ","$222,900,000,000 ","4,618,000,000","4,355,000,000",0,0,"1,770,000.00",85,0,0,15,0,0,0,0,0,"49,000",500,"49,240",0,0,0,0,"141,600,000,000","7,720,000.00","9,251.00",1.57,"1,237,088",37.2,1.27,11.2,6.8,8.3,6,7.7,79,1.47,21.8,unknown,6.4,24.7,15,unknown,"19,901","1,020"
Czech Republic,Czech Republic,CZ,parliamentary democracy,Prague,1/1/1993,50 05 N,14 28 E,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Denmark,Denmark,DK,constitutional monarchy,Copenhagen,965,55 40 N,12 35 E,"1,439,695","6,978,348","5,424,169","2,475,382","$287,800,000,000 ",2.3,"$50,100 ",28.8,2.5,"2,998,000",5.7,29,53,1.1,35.3,1.1,0,2.84,"$193,200,000,000 ","$193,200,000,000 ","$693,800,000,000 ","$361,200,000,000 ","$24,820,000,000 ","$113,600,000,000 ","$94,930,000,000 ","$75,250,000,000 ","$484,800,000,000 ","$188,700,000,000 ","$287,900,000,000 ","29,840,000,000","33,020,000,000","9,919,000,000","14,980,000,000","14,340,000.00",46,0,0,54,"115,000","82,980","98,240","439,000,000","183,900","158,500","133,700","109,700","4,842,000,000","3,115,000,000","2,237,000,000","509,700,000","12,860,000,000","37,450,000.00","43,094.00",1.32,"5,809,502",41.9,0.59,10.9,9.3,4.3,4,3.2,81,1.78,19.7,unknown,7.6,11,80,"3,476","74,558",668
Djibouti,Djibouti,DJ,republic,Djibouti,6/27/1977,11 35 N,43 09 E,"36,582","373,052","111,212","24,389","$3,640,000,000 ",6.7,"$3,600 ",22.3,2.7,"294,600",40,40.9,35.3,-9,31.8,0.7,unknown,11.3,"$1,475,000,000 ","$1,475,000,000 ","$673,100,000 ",unknown,"($280,000,000)","$139,900,000 ","$726,400,000 ","$547,700,000 ","$1,954,000,000 ","$1,470,000,000 ",unknown,"405,500,000","377,100,000",0,0,"130,300.00",100,0,0,0,0,0,0,0,0,"6,360",403,"6,692",0,0,0,0,0,"950,200.00","23,200.00",unknown,"884,017",24.2,2.13,23.3,7.5,5.5,248,44.3,64,2.27,13.5,29.9,4.5,unknown,13,97,"2,893",15
Dominica,Dominica,DM,parliamentary democracy,Roseau,11/3/1978,15 18 N,61 24 W,"13,328","78,444","49,439","15,487","$783,000,000 ",-4.7,"$11,000 ",10.8,-13,"25,000",23,unknown,40.9,-5.9,82.7,0.6,6.5,8.08,"$113,200,000 ","$113,200,000 ","$182,200,000 ",unknown,"($70,000,000)","$28,000,000 ","$206,600,000 ","$212,300,000 ","$280,400,000 ","$372,700,000 ","$220,000 ","111,400,000","103,600,000",0,0,"27,800.00",72,0,25,3,0,0,0,0,0,"1,300",0,"1,237",0,0,0,0,0,"199,600.00",751,unknown,"74,027",34,0.17,15,7.9,-5.4,unknown,10.3,77.4,2.03,27.9,unknown,3.4,unknown,2,unknown,"1,512",100
Dominican Republic,Dominican Republic,DO,democratic republic,Santo Domingo,2/27/1844,18 28 N,69 54 W,"1,329,852","8,769,127","6,504,998",unknown,"$173,000,000,000 ",4.6,"$17,000 ",21.6,3.1,"4,732,000",5.1,47.1,14.9,-3,37.2,3.3,unknown,13.91,"$7,011,000,000 ","$7,011,000,000 ","$35,420,000,000 ",unknown,"($165,000,000)","$10,120,000,000 ","$17,700,000,000 ","$6,873,000,000 ","$29,160,000,000 ","$37,150,000,000 ","$408,600,000 ","18,030,000,000","15,640,000,000",0,0,"3,839,000.00",77,0,16,7,0,0,"16,980",0,"16,060","134,000",0,"108,500",0,"1,161,000,000",0,"1,161,000,000",0,"23,790,000.00","48,670.00",0.74,"10,298,756",27.3,0.99,18.9,6.4,-2.6,95,22.7,71.3,2.28,27.6,4,unknown,13.5,36,496,"19,705",23
Ecuador,Ecuador,EC,republic,Quito,5/24/1822,0 13 S,78 30 W,"2,415,204","13,881,562","8,693,739","1,683,783","$193,000,000,000 ",2.4,"$11,500 ",25.9,-0.6,"8,086,000",4.6,45.9,32,-4.5,45.4,0.4,8.17,7.92,"$9,578,000,000 ","$9,578,000,000 ","$39,300,000,000 ","$6,838,000,000 ","($349,000,000)","$19,620,000,000 ","$19,310,000,000 ","$2,395,000,000 ","$39,290,000,000 ","$17,250,000,000 ","$6,330,000,000 ","26,500,000,000","22,680,000,000","211,000,000","82,000,000","8,192,000.00",43,0,54,2,"517,000","383,500",0,"8,273,000,000","137,400","265,000","25,870","153,900","477,800,000","453,100,000",0,0,"10,900,000,000","37,540,000.00","283,561.00",2.38,"16,498,502",28.1,1.25,17.6,5.1,0,59,15.9,77.1,2.15,19.9,5.1,5,7.9,432,965,"43,216",137
Egypt,Egypt,EG,republic,Cairo,2/28/1922,30 03 N,31 15 E,"6,604,849","102,958,194","39,097,468","5,223,311","$1,204,000,000,000 ",4.2,"$12,700 ",9,3.5,"29,950,000",12.2,31.8,17.9,-8.6,103,23.5,19.25,18.18,"$43,400,000,000 ","$43,400,000,000 ","$193,400,000,000 ","$27,350,000,000 ","($14,920,000,000)","$23,300,000,000 ","$59,780,000,000 ","$35,890,000,000 ","$77,470,000,000 ","$106,600,000,000 ","$7,426,000,000 ","183,500,000,000","159,700,000,000","1,158,000,000","54,000,000","45,120,000.00",91,0,6,2,"639,000","246,500","64,760","4,400,000,000","547,500","878,000","47,360","280,200","50,860,000,000","57,710,000,000","212,400,000","7,079,000,000","2,186,000,000,000","232,700,000.00","1,001,450.00",1.25,"99,413,317",23.9,2.38,28.8,4.5,-0.4,37,18.3,73.2,3.41,32,7,unknown,29.6,83,"5,085","65,050",389
El Salvador,El Salvador,SV,republic,San Salvador,9/15/1821,13 42 N,89 12 W,"677,599","9,982,186","1,785,254","442,727","$51,170,000,000 ",2.3,"$8,000 ",14.9,3.6,"2,774,000",7,36,23.7,-2.5,67.9,1,unknown,6.47,"$3,653,000,000 ","$3,653,000,000 ","$14,220,000,000 ","$2,640,000,000 ","($501,000,000)","$4,662,000,000 ","$9,499,000,000 ","$3,567,000,000 ","$15,510,000,000 ","$10,280,000,000 ","$678,700,000 ","5,830,000,000","5,928,000,000","89,600,000","1,066,000,000","1,983,000.00",49,0,23,29,0,0,0,0,0,"52,000",347,"49,280",0,0,0,0,0,"7,331,000.00","21,041.00",1.03,"6,187,271",27.6,0.25,16.1,5.8,-7.8,46,16.3,75.1,1.84,24.6,5,3.8,10.1,68,13,"9,012",2
Equatorial Guinea,Equatorial Guinea,GQ,republic,Malabo,10/12/1968,3 45 N,8 47 E,"10,989","575,650","180,597","3,382","$31,520,000,000 ",-3.2,"$37,400 ",6.1,-6.9,"195,200",8.6,unknown,16.9,-3.3,37.4,0.7,8.5,15,"$1,510,000,000 ","$1,510,000,000 ","$2,806,000,000 ",unknown,"($738,000,000)","$6,118,000,000 ","$2,577,000,000 ","$45,500,000 ","$1,211,000,000 ",unknown,unknown,"500,000,000","465,000,000",0,0,"331,000.00",61,0,38,2,"172,000","308,700",0,"1,100,000,000",0,"5,200",0,"5,094","6,069,000,000","1,189,000,000","4,878,000,000",0,"36,810,000,000","3,062,000.00","28,051.00",0.18,"797,457",19.9,2.41,31.7,7.6,0,301,63.3,65,4.29,8,5.6,unknown,unknown,7,unknown,"2,880",38
Eritrea,Eritrea,ER,transitional government ,Asmara,5/24/1993,15 20 N,38 56 E,"66,086","506,000","69,095",600,"$9,402,000,000 ",5,"$1,600 ",5.5,5.4,"2,710,000",5.8,unknown,34.9,-9.8,131.2,9,unknown,unknown,"$3,084,000,000 ","$3,084,000,000 ","$5,787,000,000 ",unknown,"($137,000,000)","$624,300,000 ","$1,127,000,000 ","$236,700,000 ","$792,700,000 ",unknown,unknown,"415,900,000","353,900,000",0,0,"160,700.00",99,0,0,1,0,0,0,0,0,"4,000",0,"3,897",0,0,0,0,0,"597,100.00","117,600.00",unknown,"5,970,646",19.9,0.89,29.1,7.1,-13.1,480,44.4,65.6,3.9,5,39.4,unknown,unknown,13,306,"16,000",9
Estonia,Estonia,EE,parliamentary republic,Tallinn,8/20/1991,59 26 N,24 43 E,"362,117","1,904,425","1,097,921","404,682","$41,650,000,000 ",4.9,"$31,700 ",27,9.5,"670,200",5.8,34.8,39.9,-0.3,9,3.7,0,4.2,"$14,780,000,000 ","$14,780,000,000 ","$24,250,000,000 ","$3,102,000,000 ","$809,000,000 ","$13,440,000,000 ","$14,420,000,000 ","$345,000,000 ","$19,050,000,000 ","$27,050,000,000 ","$10,960,000,000 ","11,550,000,000","8,795,000,000","5,613,000,000","3,577,000,000","2,578,000.00",72,0,0,28,0,0,0,0,0,"28,300","27,150","35,520",0,"481,400,000",0,"481,400,000",0,"5,306,000.00","45,228.00",2.14,"1,244,288",43,-0.6,9.9,12.7,-3.1,9,3.8,77,1.6,21.2,unknown,5.2,12.1,18,"2,146","58,412",74
Ethiopia,Ethiopia,ET,federal republic,Addis Ababa,unknown,9 02 N,38 42 E,"1,181,000","62,617,000","15,731,741","580,120","$200,600,000,000 ",10.9,"$2,200 ",32.1,10.5,"52,820,000",17.5,33,13.9,-3.2,54.2,9.9,unknown,13.5,"$9,042,000,000 ","$9,042,000,000 ","$27,660,000,000 ",unknown,"($6,551,000,000)","$3,230,000,000 ","$15,590,000,000 ","$3,013,000,000 ","$26,050,000,000 ",unknown,unknown,"11,150,000,000","9,062,000,000","166,000,000",0,"2,784,000.00",3,0,86,11,0,0,0,"428,000",0,"74,000",0,"69,970",0,0,0,0,"24,920,000,000","12,180,000.00","1,104,300.00",0.64,"108,386,391",18,2.83,36,7.5,-0.2,401,48.3,63,4.91,4.5,23.6,4.7,25.2,57,659,"120,171",11
Fiji,Fiji,FJ,republic,Suva,10/10/1970,18 08 S,178 25 E,"75,952","1,033,915","425,680","12,135","$8,629,000,000 ",3,"$9,800 ",12.7,2.8,"353,100",4.5,unknown,29.7,-4,48.9,3.4,1.75,5.74,"$2,272,000,000 ","$2,272,000,000 ","$3,607,000,000 ","$452,500,000 ","($277,000,000)","$908,200,000 ","$1,911,000,000 ","$1,116,000,000 ","$1,022,000,000 ","$4,342,000,000 ","$117,100,000 ","914,000,000","850,000,000",0,0,"338,000.00",34,0,38,27,0,0,0,0,0,"16,000",0,"17,460",0,0,0,0,0,"2,369,000.00","18,274.00",0.92,"926,276",29.2,0.56,18.2,6.2,-6.4,34,9.3,73.2,2.37,30.2,unknown,3.9,15.4,28,597,"3,440",60
Finland,Finland,FI,republic,Helsinki,12/6/1917,60 10 N,24 56 E,"378,200","7,307,800","4,822,132","1,709,400","$244,900,000,000 ",2.8,"$44,500 ",23.3,6.2,"2,473,000",8.5,27.2,53.1,-0.6,61.3,0.8,1.25,1.61,"$152,600,000,000 ","$152,600,000,000 ","$323,900,000,000 ","$231,000,000,000 ","$1,806,000,000 ","$67,730,000,000 ","$65,260,000,000 ","$10,510,000,000 ","$150,600,000,000 ","$135,200,000,000 ","$185,600,000,000 ","66,540,000,000","82,790,000,000","3,159,000,000","22,110,000,000","16,270,000.00",41,17,20,23,0,0,"236,700",0,"310,600","217,100","166,200","122,200",0,"2,350,000,000","4,000,000","2,322,000,000",unknown,"46,010,000.00","338,145.00",1.29,"5,537,364",42.6,0.33,10.7,10.1,2.8,3,2.5,81.1,1.75,22.2,unknown,6.9,20.1,148,"5,926","454,000",259
France,France,FR,republic,Paris,unknown,48 52 N,2 20 E,"38,687,000","69,017,000","57,226,585","28,429,000","$2,856,000,000,000 ",2.3,"$44,100 ",22.9,2,"30,680,000",9.4,29.3,53.8,-2.6,96.8,1.2,0,1.29,"$1,465,000,000,000 ","$1,465,000,000,000 ","$4,334,000,000,000 ","$1,591,000,000,000 ","($14,830,000,000)","$549,900,000,000 ","$601,700,000,000 ","$156,400,000,000 ","$5,360,000,000,000 ","$858,300,000,000 ","$1,429,000,000,000 ","529,100,000,000","450,800,000,000","61,410,000,000","19,900,000,000","130,800,000.00",17,50,15,19,"16,000",0,"1,147,000","65,970,000","1,311,000","1,705,000","440,600","886,800","16,990,000","41,880,000,000","6,031,000,000","48,590,000,000","8,410,000,000","341,200,000.00","643,801.00",1.84,"67,364,357",41.5,0.37,12.1,9.4,1.1,8,3.2,82,2.06,21.6,unknown,5.4,22.3,464,"29,640","1,053,215",555
